image-uri,image-id,product-set-id,product-id,product-category,product-display-name,labels,bounding-poly
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595145_sa.jpg,,products,4595145,general-v1,Grand Ages: Medieval - PRE-OWNED - PlayStation 4,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595146_sa.jpg,,products,4595146,general-v1,Urban Armor Gear - Case for Apple® iPad® mini 4 - Red/Black,,
http://img.bbystatic.com/BestBuy_US/images/pac/products/1314/1314383735/1314383735_sa.jpg,,products,4595160,general-v1,"HP - Star Wars Special Edition 15.6"" Laptop - Intel Core i5 - 6GB Memory - 1TB Hard Drive - Darkside Black",,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595161_sa.jpg,,products,4595161,general-v1,Ricoh - Theta S 14.0-Megapixel Digital Camera - Black,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595162_sa.jpg,,products,4595162,general-v1,NBA Live 16 - PRE-OWNED - PlayStation 4,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595700_sa.jpg,,products,4595700,general-v1,Tony Hawk's Pro Skater 5 - PRE-OWNED - PlayStation 4,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595800_sa.jpg,,products,4595800,general-v1,NBA Live 16 - PRE-OWNED - Xbox One,,
http://img.bbystatic.com/BestBuy_US/images/products/4595/4595900_sa.jpg,,products,4595900,general-v1,Tony Hawk's Pro Skater 5 - PRE-OWNED - Xbox One,,
http://img.bbystatic.com/BestBuy_US/images/products/4596/4596067_sa.jpg,,products,4596067,general-v1,Moshi - iGlaze Armour Case for Apple® iPhone® 6 Plus and 6s Plus - Satin Gold,,
http://img.bbystatic.com/BestBuy_US/images/products/4596/4596402_sa.jpg,,products,4596402,general-v1,Epson - SureColor P400 Wireless Printer - Black,,
http://img.bbystatic.com/BestBuy_US/images/products/4596/4596800_sa.jpg,,products,4596800,general-v1,Mio - Alpha 2 Continuous Heart Rate Monitor - Pink,,
http://img.bbystatic.com/BestBuy_US/images/products/4596/4596900_sa.jpg,,products,4596900,general-v1,TRACFONE - Bring Your Own Phone Mini Activation Kit,,
